Author,Year,Title,Journal Name,Volume,Issue,Pages,Abstract,categories
"Cohen, K. E., A. E. George, D. C. Chapman, J. H. Chick, and L. P. Hernandez",2020,"Developmental ecomorphology of the epibranchial organ of the silver carp,Hypophthalmichthys molitrix",Journal of Fish Biology,97,2,527-536,"Silver carp regularly consume and digest particles of food as small as 5 mu m. This ability drives their efficient consumption of phytoplankton and because they feed low on the food chain they have an important place in aquaculture worldwide. In North America, where they are considered invasive, silver carp deplete food resources for native species and in so doing occupy increased niche space. Here, we determine the ontogenetic stage and size at which silver carp are morphologically capable of primarily feeding on particles <10 mu m. Ecological studies on this species have shown that there is an ontogenetic shift in diet as predominantly zooplanktivorous juveniles later switch to eating much smaller phytoplankton. The occupation of this new trophic niche presents both a metabolic and a mechanical challenge to these fish, since it is unclear how they can efficiently feed on such small particles. We hypothesize that the epibranchial organ (EBO) in silver carp is essential in aggregating these small particles of food, allowing the species to consume mass quantities of tiny particles, thus mitigating metabolic constraints. In this study, we investigate early ontogeny of the EBO in silver carp to determine when this structure achieves the requisite morphology to become functional. We find that at around 80 mm standard length (SL) the EBOs are consistently filled with food, demonstrating that this accumulating organ has become functional. This size corresponds with previous ecological data documenting important shifts in the type of food consumed. While the basic bauplan of the EBO is established very early in ontogeny (by 15 mm SL), multiple waves of histological maturation of muscle, cartilage, gill rakers and epithelium ultimately form the functional structure.",yes
"Cohen, K. E., and L. P. Hernandez",2018,"The complex trophic anatomy of silver carp, Hypophthalmichthys molitrix, highlighting a novel type of epibranchial organ",Journal of Morphology,279,11,1615-1628,"Hypophthalmichthys molitrix, silver carp, is an invasive Asian carp that has become increasingly widespread and ecologically destructive within the upper Mississippi River Basin. Its complex trophic anatomy may help explain the apparent efficiency with which they consume phytoplankton, outcompeting native filter feeders. This cypriniform species is characterized by trophic synapomorphies that include a palatal organ, loss of upper pharyngeal jaws, and a hypertrophied lower pharyngeal jaw. However, in silver carp these structures have become greatly modified and diverge from the more basal condition that characterizes species such as goldfish. The trophic apparatus of silver carp is composed of discrete structures that are functionally coupled: filtering plates, paired epibranchial organs (EBO), a modified palatal organ composed of large muscular folds that interdigitate with the filtering plates, and hypertrophied lower pharyngeal jaws and teeth. The filtering plates fill a significant portion of the buccal cavity, especially since the distal parts of these filtering plates make up a key component of the EBOs. EBOs, food aggregating structures found in many teleosts, are thought to have independently evolved at least six times. Ranging in complexity from small slits on the dorsal wall of the pharyngeal cavity to exceedingly intricate spiraling structures, EBOs are morphologically diverse among filter-feeding fishes. Despite this morphological diversity and broad taxonomic distribution, little is known regarding the functional anatomy of the EBO. Moreover, the EBO in silver carp is distinct from the organs previously described in other species, being created by four independent pharyngeal involutions (instead of the more typical one or two) that form spiral-shaped pharyngeal tubes surrounded by circumferential muscle. On each side of the head greatly hypertrophied hyomandibulae and opercles are connected to the anterior cartilaginous caps of the bilateral EBOs via enlarged muscles. Given that these fish are pump filter feeders we hypothesize that the opercula may compress and expand the EBOs during pumping causing food to be moved posteriorly toward the pharyngeal jaws.",yes
"Cohen, K. E., and L. P. Hernandez",2018,Making a master filterer: Ontogeny of specialized filtering plates in silver carp (Hypophthalmichthys molitrix),Journal of Morphology,279,7,925-935,"Filter feeding fishes possess several morphological adaptations necessary to capture and concentrate small particulate matter from the water column. Filter feeding teleosts typically employ elongated and tightly packed gill rakers with secondary bony or epithelial modifications that increase filtering efficiency. The gill rakers of Hypophthalmichthys molitrix, silver carp, are anatomically distinct from and more complex than the filtering apparatus of other teleostean fishes. The silver carp filtering apparatus is composed of biserial, fused filtering plates used to capture particles ranging in size from 4 to 80 m. Early in ontogeny, at 15-25 mm standard length (SL), silver carp gill rakers are reminiscent of other more stereotypical teleostean rakers, characterized by individual lanceolate rakers that are tightly packed along the entirety of the branchial arches. At 30 mm SL, secondary epithelial projections and concomitant dermal ossification begin to stitch together individual gill rakers. During later juvenile stages, dermal bone further modifies the individual gill rakers and creates a bony scaffold that supports the now fully fused and porous epithelium. By adulthood, the stitching of bone and complete fusion of the overlying epithelium creates rigid filtering plates with morphologically distinct faces. The inner face of the plates is organized into a net-like matrix while the outer face has a sponge-like appearance comprised of differently sized pores. Here, we present morphological data from an ontogenetic series of the filtering apparatus within silver carp. These data inform hypotheses regarding both how these gill raker plates may have evolved from a more basal condition, as well as how this novel architecture allows this species to feed on exceedingly small phytoplankton, particles that represent a greater filtering challenge to the typical anatomy of the gill rakers of fishes.",yes
"Cohen, K. E., L. P. Hernandez, C. H. Crawford, and B. E. Flammang",2018,Channeling vorticity: Modeling the filter-feeding mechanism in silver carp using μct and 3d piv,Journal of Experimental Biology,221,19,jeb183350,"Invasive silver carp are thriving within eutrophic environments in the United States, in part because of their highly efficient filter-feeding mechanism. Silver carp utilize modified gill rakers to capture a specific range of food; however, their greatly modified filtering morphology allows them to feed on phytoplankton and zooplankton ranging in size from 4 to 85 µm. The filtering apparatus of silver carp comprises rigid filtering plates where the outer anatomy of these plates is characterized by long parallel channels that change in orientation along the length of the plate. Here, we investigate the underlying morphology and concomitant hydrodynamics that support the filtration mechanisms of silver and bighead carp. Bighead carp are also invasive filter feeders, but their filtering apparatus is morphologically distinct from that of silver carp. Using 3D particle image velocimetry, we determined how particles and fluid interact with the surface of the gill rakers/plates. Filtering plates in silver carp induce strong directed vortical flow, whereas the filtering apparatus of bighead carp resulted in a type of haphazard cross-flow filtration. The organized vortical flow established by silver carp likely increased the number of interactions that the particle-filled water had with the filtering membrane. This strong vortical organization is maintained only at 0.75 body lengths s<sup>-1</sup>, and vortical flow is poorly developed and maintained at slower and faster speeds. Moreover, we found that absolute vorticity magnitude in silver carp is an order of magnitude greater than in bighead carp.",yes
"Coulter, A. A., A. R. Prechtel, and R. R. Goforth",2022,"Consistency of mobile and sedentary movement extremes exhibited by an invasive fish, silver carp Hypophthalmichthys molitrix",Biological Invasions,,,,"Within many populations, some individuals may be more apt to move, and these individuals can substantially impact population dynamics. Invasive Silver Carp (Hypophthalmichthys molitrix) have spread throughout much of the Mississippi River Basin, and their presence has resulted in multiple negative ecosystem effects. Silver Carp are known to move hundreds of km, which has likely contributed to their rapid spread. Our study examined movement patterns and environmental cues for movement in Silver Carp based on acoustic telemetry of tagged fish that ranged widely (i.e., mobile) and those that did not range far from the site of their original capture and tagging (i.e., sedentary) in the Wabash River, USA. Sedentary and mobile designations were made based on observed extremes of mean annual ranges, and these designations were consistent within seasons and among years. Both movement groups displayed seasonal variation in movements, with mobile Silver Carp consistently moving greater distances within each season and sedentary Silver Carp exhibiting lower variability in distances moved than mobile individuals. Discharge (change in discharge) and temperature were significant predictors of mobile and sedentary individuals' movements. Additional environmental variables (i.e., cumulative growing degree day, day of year, and change in temperature) also related to movement likelihood of sedentary individuals, whereas total length was the only additional variable that influenced movement likelihood of mobile individuals. Total length was significantly related to movement distance for both groups of Silver Carp, but the relationship was negative for sedentary fish and positive for mobile fish. Results point to differences in behavior that may require targeted management strategies to achieve agency goals to interrupt mobile individual movements that can result in range expansion. Such strategies may also limit introductions and invasions by other aquatic invasive species that exhibit similar behaviors.",yes
"Coulter, A. A., H. K. Swanson, and R. R. Goforth",2019,Seasonal variation in resource overlap of invasive and native fishes revealed by stable isotopes,Biological Invasions,21,2,315-321,"Species invasions may disrupt resource partitioning in aquatic ecosystems, potentially resulting in competitive exclusion, or shifts in resource use by native species. Diet overlap between invasive Silver Carp (Hypophthalmichthys molitrix) and native planktivores has been linked to declines in condition and abundance of native planktivores. However, there is little information on how such diet overlap varies temporally. We used stable-isotope ratios to examine seasonal resource overlap among Silver Carp and two native planktivores, Gizzard Shad (Dorosoma cepedianum) and Bigmouth Buffalo (Ictiobus cyprinellus). Resource overlap between Bigmouth Buffalo and Silver Carp was minimal (<1%) in all seasons, whereas overlap between Gizzard Shad and Silver Carp (7-36%) was larger and varied seasonally. The greatest resource overlap among species occurred in summer, while the smallest overlap occurred in spring. Resource use by Silver Carp appears to be highly specialized in the fall, as indicated by a narrow isotopic niche.Variation in niche size among seasons suggests that Silver Carp may be plastic in their resource use. Overall, the limited resource overlap among invasive and native species revealed in this study suggests potentially low invasive-native competition, although competition may have acted prior to our study to produce shifts in resource use by native fishes.",yes
"Coulter, D. P., P. Wang, A. A. Coulter, G. E. Van Susteren, J. J. Eichmiller, J. E. Garvey, and P. W. Sorensen",2019,Nonlinear relationship between silver carp density and their edna concentration in a large river,Plos One,14,6,,"Although environmental DNA (eDNA) is increasingly being used to survey for the presence of rare and/or invasive fishes in aquatic systems, the utility of this technique has been limited by a poor understanding of whether and how eDNA concentrations relate to fish density, especially in rivers. We conducted a field study to systematically test whether the eDNA released by a model invasive fish, Silver Carp (Hypophthalmichthys molitrix), was related to the density of this species in a large river. We quantified fish density throughout the 460 km long Illinois River using hydroacoustic surveys at 23 sites while concurrently collecting 192 surface water samples for eDNA analysis. We found that Silver Carp numerical density and biomass density were positively and non-linearly related to eDNA concentration and detection rate. Both eDNA concentration (copy number) and detection rate increased rapidly as Silver Carp density increased but plateaued at moderate densities. These relationships could prove useful for estimating Silver Carp relative abundance in newly invaded locations where population numbers are low to moderate. Future studies should explore the causes of this nonlinear relationship as it would ultimately benefit aquatic species monitoring and management programs.",yes
"Crookes, S., T. Heer, R. A. Castaneda, N. E. Mandrak, D. D. Heath, O. L. F. Weyl, H. J. MacIsaac, and L. C. Foxcroft",2020,Monitoring the silver carp invasion in africa: A case study using environmental DNA (edna) in dangerous watersheds,Neobiota,,56,31-47,"Biodiverse habitats are increasingly subject to an intensification of anthropogenic stressors that may severely diminish species richness. Invasive species pose a dominant threat to biodiversity and biosecurity, particularly in biodiversity hotspots like Kruger National Park, South Africa. The invasive silver carp, Hypophthalmichthys molitrix, was introduced into the Olifants River and may experience range spread owing to favorable environmental conditions. Intensive monitoring protocols are necessary to effectively manage invasions of species like silver carp. Unfortunately, tropical and sub-tropical aquatic systems are difficult to monitor using conventional methods (e.g., netting, electrofishing and snorkeling) owing to a range of factors including the presence of dangerous megafauna. Conservation of such systems may be advanced by the adoption of novel methods, including environmental DNA (eDNA) detection. Here, we explore the utility of environmental DNA (eDNA) to conduct safe, reliable and repeatable surveys in dangerous watersheds using silver carp as a case study. We conducted eDNA surveys at 12 sites in two neighbouring watersheds, and determined that the species has expanded its range within the Olifants River and to the south in the Sabie River. Expansion in the former is consistent with the presence of suitable spawning conditions. We discuss the implications of this survey for biodiversity monitoring in similar aquatic systems in the tropics and advocate an integrative approach to biomonitoring in these ecosystems.",yes
"DeBoer, J. A., A. M. Anderson, and A. F. Casper",2018,Multi‐trophic response to invasive silver carp (<i>Hypophthalmichthys molitrix</i>) in a large floodplain river,Freshwater Biology,63,6,597-611,"Invasive species can produce complex and unpredictable effects across multiple trophic levels through a combination of direct and indirect pathways. Invasive silver carp (Hypophthalmichthys molitrix) exert substantial pressure on the link between primary production and intermediate trophic levels in large rivers of the Midwestern USA. The goal of our manuscript was to describe the silver carp population invasion in the Illinois River (Illinois, USA) and explore the potential effects of silver carp on the native biota.We obtained 22 years of data from three long‐term monitoring programmes for phytoplankton, zooplankton, and age‐0 and adult native fishes. To determine when silver carp started affecting native biota, we used nonlinear regression to estimate the change point in silver carp biomass. We then used piecewise linear regression to separately model the response of phytoplankton and age‐0 and adult native fishes, using the model‐estimated change point in silver carp biomass. We tested for differences in taxon‐specific zooplankton density and biomass between pre‐ and post‐establishment periods using generalised linear models. To explore associations between native biota, silver carp and other potential drivers, we used single‐factor linear‐regression models in an information theoretic‐based approach.Our analysis showed individual silver carp condition decreased while their population numbers and biomass increased during their establishment in the Illinois River. Concurrently, analysis of 22 years of producer and consumer abundance and biomass data shows phytoplankton density and macrozooplankton density and biomass decreased—zooplankton by over 90%—during the same period, though the responses of age‐0 native fish biomass and adult native fish biomass were more nuanced.Our study provides compelling evidence of multiple trophic‐level effects from the silver carp invasion in North America and highlights the importance of long‐term data collection and monitoring. Our research shows managers that zooplankton and perhaps phytoplankton are quickly and negatively affected by silver carp, which may eventually cascade into higher trophic levels over longer timescales.",yes
"Deng, Y. X., C. X. Feng, Q. J. Yin, X. Q. Liu, H. R. Shi, Y. Yang, and Y. F. Wu",2021,Effect of total dissolved gas supersaturation on the survival of common carp (Cyprinus carpio) and silver carp (Hypophthalmichthys molitrix),Journal of Fish Biology,99,6,2008-2017,"Flood discharge results in total dissolved gas (TDG) supersaturation downstream of a dam during the flood period. Fish suffer death from gas bubble disease (GBD) caused by TDG supersaturation. Nonetheless, current studies mainly attach importance to the survival of benthic fish affected by TDG supersaturation in the Yangtze River in China. Few studies have attempted to investigate the survival of pelagic fish influenced by TDG supersaturated water and compare the tolerance characteristics to TDG supersaturation between benthic and pelagic fish. To identify the survival of fish species that inhabit the various water layers affected by TDG supersaturation, silver carp (Hypophthalmichthys molitrix) (pelagic fish) and common carp (Cyprinus carpio) (benthic fish) were chosen to conduct an acute exposure experiment of four different TDG supersaturation levels (125%, 130%, 135% and 140%). The findings illustrated that the two fish species both exhibited evident aberrant behaviours of maladjustment in TDG supersaturated water. Obvious GBD symptoms were also found in the test fish. The survival probability of silver carp and common carp decreased with increasing levels of TDG supersaturation. The median survival time (ST50) values of the silver carp exposed to four levels of TDG supersaturated water (125%, 130%, 135% and 140%) were 26.84, 7.96, 5.56 and 3.62 h, respectively, whereas the ST50 values of common carp were 53.50, 26.00, 16.50 and 11.70 h, respectively. When compared with common carp, silver carp had a weaker tolerance to TDG-supersaturated water and were vulnerable to GBD. It shows that levels above 125% are not safe for common carp survival. In terms of the tolerance threshold value, silver carp merits further investigation because it showed lower tolerance to TDG than did common carp.",yes
"Doi, H., T. Watanabe, N. Nishizawa, T. Saito, H. Nagata, Y. Kameda, N. Maki, K. Ikeda, and T. Fukuzawa",2021,On-site environmental DNA detection of species using ultrarapid mobile PCR,Molecular Ecology Resources,21,7,2364-2368,"Molecular methods, including those for environmental DNA (eDNA), provide essential information for biological and conservation sciences. Molecular measurements are often performed in the laboratory, which limits their scope, especially for rapid on-site analysis. eDNA methods for species detection provide essential information for the management and conservation of species and communities in various environments. We have developed an innovative novel method for on-site eDNA measurements using an ultrarapid mobile PCR platform. We tested the ability of our method to detect the distribution of silver carp, Hypophthalmichthys molitrix, in rivers and lakes. Our method reduced the measurement time to 30 min and provided high detectability of aquatic organisms compared to national observation surveys that use multiple fishing nets and laboratory extraction/detection using a benchtop qPCR platform. Our on-site eDNA method can be immediately applied to various taxa and environments.",yes
"Fang, M., J. Fu, W. Zhu, L. Wang, B. Jiang, and Z. Dong",2020,Multiplex microsatellite PCR panels and their application in genetic analyses of bighead carp (<i>Hypophthalmichthys nobilis</i>) and silver carp (<i>h. molitrix</i>),Journal of Applied Ichthyology,36,3,342-348,"In this study, three multiplex PCR panels involving twelve microsatellite loci were developed for cross‐species amplification in bighead carp (Hypophthalmichthys nobilis) and silver carp (H. molitrix). The panels were verified using population genetic analyses, and species and simulated hybrid discriminations based on the genotype data of all individuals from two populations for each species. The number of alleles (Na), the observed and expected heterozygosity (Ho and He), and the polymorphic information content (PIC) of twelve loci were ranged from 5 to 20, 0.189 to 0.956, 0.177 to 901, and 0.169 to 0.887, respectively. Overall, almost all the microsatellite loci were detected as highly polymorphic across the two species. The populations of same species showed close genetic distances and similar genetic structures. Significant genetic differentiations were only detected between populations from different species, with a higher variation between species (21.17%) compared with that between populations within species (0.18%). In the species and simulated hybrid discrimination analyses, the individuals from different species were separated distinctly, and the simulated hybrids could almost be separated with the true individuals. In brief, the results indicated the high efficiency of the microsatellite multiplex panels developed in this study, which provide a practicable tool for further genetic analyses of H. nobilis and H. molitrix.",yes
